danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,genres,genre
0.695,0.775,11,-5.041,0,0.0887,0.0117,0.191,0.0702,0.869,180.054,audio_features,05rJdH2MRLJ3sQoEUO78qs,spotify:track:05rJdH2MRLJ3sQoEUO78qs,https://api.spotify.com/v1/tracks/05rJdH2MRLJ3sQoEUO78qs,https://api.spotify.com/v1/audio-analysis/05rJdH2MRLJ3sQoEUO78qs,141317,4,Paradinha,"['baile pop', 'funk carioca', 'funk das antigas']",baile pop
0.778,0.826,1,-2.798,0,0.212,0.206,0.0,0.761,0.759,139.042,audio_features,2DAGCHu5aoo2FOjmtU9ojo,spotify:track:2DAGCHu5aoo2FOjmtU9ojo,https://api.spotify.com/v1/tracks/2DAGCHu5aoo2FOjmtU9ojo,https://api.spotify.com/v1/audio-analysis/2DAGCHu5aoo2FOjmtU9ojo,207104,4,50 Reais,"['sertanejo pop', 'funk carioca', 'sertanejo universitario']",sertanejo pop
0.699,0.739,1,-6.198,0,0.0513,0.6,0.00361,0.389,0.764,92.989,audio_features,40bK2uosUmAS92c17n98xd,spotify:track:40bK2uosUmAS92c17n98xd,https://api.spotify.com/v1/tracks/40bK2uosUmAS92c17n98xd,https://api.spotify.com/v1/audio-analysis/40bK2uosUmAS92c17n98xd,218467,4,Acordando o Prédio,"['sertanejo universitario', 'funk carioca']",sertanejo universitario
0.774,0.611,6,-2.883,1,0.134,0.109,0.0,0.0805,0.388,89.995,audio_features,6m2LNopVJKsvBB9l7Z1rwn,spotify:track:6m2LNopVJKsvBB9l7Z1rwn,https://api.spotify.com/v1/tracks/6m2LNopVJKsvBB9l7Z1rwn,https://api.spotify.com/v1/audio-analysis/6m2LNopVJKsvBB9l7Z1rwn,161593,4,Olha a Explosão,"['funk carioca', 'funk ostentacao']",funk carioca
0.931,0.604,0,-1.41,0,0.0573,0.456,0.0,0.0488,0.864,129.926,audio_features,0EPxmvsG1BY5td4aTOkWBF,spotify:track:0EPxmvsG1BY5td4aTOkWBF,https://api.spotify.com/v1/tracks/0EPxmvsG1BY5td4aTOkWBF,https://api.spotify.com/v1/audio-analysis/0EPxmvsG1BY5td4aTOkWBF,144039,4,Deu Onda,"['brega funk', 'funk carioca', 'funk ostentacao', 'funk das antigas']",brega funk
0.539,0.882,7,-4.087,1,0.263,0.153,0.0,0.805,0.492,93.165,audio_features,4YV827A7aWVswtyt0eWoWM,spotify:track:4YV827A7aWVswtyt0eWoWM,https://api.spotify.com/v1/tracks/4YV827A7aWVswtyt0eWoWM,https://api.spotify.com/v1/audio-analysis/4YV827A7aWVswtyt0eWoWM,151827,4,Sorte Que Cê Beija Bem - Ao Vivo,['sertanejo universitario'],sertanejo universitario
0.747,0.849,10,-3.257,1,0.0393,0.719,0.0,0.973,0.779,129.764,audio_features,4ksSf8cL3VlUvQSkFcRHy3,spotify:track:4ksSf8cL3VlUvQSkFcRHy3,https://api.spotify.com/v1/tracks/4ksSf8cL3VlUvQSkFcRHy3,https://api.spotify.com/v1/audio-analysis/4ksSf8cL3VlUvQSkFcRHy3,204080,4,Até Você Voltar,['sertanejo universitario'],sertanejo universitario
0.921,0.876,1,-4.458,1,0.104,0.153,0.00292,0.024,0.904,129.999,audio_features,3KFxG4LdaksokmT4pikezO,spotify:track:3KFxG4LdaksokmT4pikezO,https://api.spotify.com/v1/tracks/3KFxG4LdaksokmT4pikezO,https://api.spotify.com/v1/audio-analysis/3KFxG4LdaksokmT4pikezO,127893,4,Alduterio poibidào,"['funk carioca', 'funk ostentacao', 'funk das antigas']",funk carioca
0.76,0.999,9,-4.007,1,0.15,0.177,0.281,0.866,0.0807,133.002,audio_features,2loApP0kPaim0BTDVP9F26,spotify:track:2loApP0kPaim0BTDVP9F26,https://api.spotify.com/v1/tracks/2loApP0kPaim0BTDVP9F26,https://api.spotify.com/v1/audio-analysis/2loApP0kPaim0BTDVP9F26,176608,4,Movimento da sanfoninha - Ao vivo,"['baile pop', 'funk carioca', 'funk das antigas']",baile pop
0.957,0.667,10,-5.353,0,0.0856,0.826,0.0205,0.179,0.556,132.01,audio_features,7KBfjlQ85Fqs2MCCvXSW0c,spotify:track:7KBfjlQ85Fqs2MCCvXSW0c,https://api.spotify.com/v1/tracks/7KBfjlQ85Fqs2MCCvXSW0c,https://api.spotify.com/v1/audio-analysis/7KBfjlQ85Fqs2MCCvXSW0c,155550,4,Bum Bum Tam Tam,['funk carioca'],funk carioca
